text,label
"Fantastic news about the project, everything went wonderful.",positive
Escalating this: our vendor is disappointing and downtime is increasing.,negative
Really appreciate the smooth effort on your service.,positive
"Congratulations to everyone, support looked great today.",positive
Please find attached the notes for the product.,neutral
Forwarding the documentation related to our vendor for your reference.,neutral
Please find attached the notes for the delivery.,neutral
The disappointing issue with our vendor has not been addressed despite reminders.,negative
"We are very happy with the product, truly great work.",positive
Forwarding the documentation related to the product for your reference.,neutral
"Congratulations to everyone, our vendor looked wonderful today.",positive
Here is the weekly status update on support.,neutral
"I love how our vendor turned out, it was wonderful.",positive
The critical issue with the meeting has not been addressed despite reminders.,negative
We reviewed your service and there are no changes to report.,neutral
the invoice is completely delayed; our clients are complaining.,negative
Can you confirm the details for the invoice before Friday?,neutral
our vendor was superb; the client was thrilled with the outcome.,positive
I demand a refund — the delivery was urgent and unusable.,negative
